2019-10-23 22:54:42.332 [main-1323] INFO  com.netflix.discovery.DiscoveryClient 1323 notify - Saw local status change event StatusChangeEvent [timestamp=1571842482332, current=UP, previous=STARTING]
2019-10-23 22:54:42.342 [DiscoveryClient-InstanceInfoReplicator-0-844] INFO  com.netflix.discovery.DiscoveryClient 844 register - DiscoveryClient_HELLO-SERVER/DESKTOP-BHHBH67:hello-server:8881: registering service...
2019-10-23 22:54:42.412 [main-173] INFO  org.apache.coyote.http11.Http11NioProtocol 173 log - Starting ProtocolHandler ["http-nio-8881"]
2019-10-23 22:54:42.442 [main-202] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 202 start - Tomcat started on port(s): 8881 (http) with context path ''
2019-10-23 22:54:42.442 [main-145] INFO  org.springframework.cloud.netflix.eureka.serviceregistry.EurekaAutoServiceRegistration 145 onApplicationEvent - Updating port to 8881
2019-10-23 22:54:42.502 [DiscoveryClient-InstanceInfoReplicator-0-853] INFO  com.netflix.discovery.DiscoveryClient 853 register - DiscoveryClient_HELLO-SERVER/DESKTOP-BHHBH67:hello-server:8881 - registration status: 204
2019-10-23 22:54:42.635 [main-59] INFO  com.example.HelloApplication 59 logStarted - Started HelloApplication in 5.986 seconds (JVM running for 7.171)
2019-10-23 22:54:43.142 [RMI TCP Connection(6)-192.168.31.232-173] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] 173 log - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-10-23 22:54:43.142 [RMI TCP Connection(6)-192.168.31.232-525] INFO  org.springframework.web.servlet.DispatcherServlet 525 initServletBean - Initializing Servlet 'dispatcherServlet'
2019-10-23 22:54:43.152 [RMI TCP Connection(6)-192.168.31.232-547] INFO  org.springframework.web.servlet.DispatcherServlet 547 initServletBean - Completed initialization in 10 ms
2019-10-23 22:55:12.338 [DiscoveryClient-CacheRefreshExecutor-0-976] INFO  com.netflix.discovery.DiscoveryClient 976 fetchRegistry - Disable delta property : false
2019-10-23 22:55:12.338 [DiscoveryClient-CacheRefreshExecutor-0-977] INFO  com.netflix.discovery.DiscoveryClient 977 fetchRegistry - Single vip registry refresh property : null
2019-10-23 22:55:12.338 [DiscoveryClient-CacheRefreshExecutor-0-978] INFO  com.netflix.discovery.DiscoveryClient 978 fetchRegistry - Force full registry fetch : false
2019-10-23 22:55:12.338 [DiscoveryClient-CacheRefreshExecutor-0-979] INFO  com.netflix.discovery.DiscoveryClient 979 fetchRegistry - Application is null : false
